idrealestate;type;typeOfOffer;city;municipality;squareFootage;constructionYear;landArea;floorInfo;registration;heatingType;roomNo;bathroomNo;price;country;con;pl;pumpaIliKalorimetri
33;cottage;sale;"Velika Plana";"Milosevacko jezero bb";100;1980;NULL;NULL;Da;Samostalno;4;2;21000;Srbija;Izvorno;yes;NULL
49;cottage;rent;Obrenovac;"Sava naselje";70;NULL;NULL;NULL;NULL;Samostalno;2;1;60;Srbija;Novogradnja;yes;NULL
81;home;sale;"Dobra Voda";NULL;210;NULL;NULL;NULL;Da;NULL;5;3;190000;"Crna Gora";Standardna;yes;NULL
86;flat;sale;Dobrota;NULL;81;NULL;NULL;"- / -";Da;"Podno, Samostalno, Klima";4;1;130000;"Crna Gora";Standardna;yes;NULL
87;home;sale;"Donji Stoliv";NULL;250;NULL;NULL;NULL;Da;"Centralno, Podno, Samostalno, Klima";4;4;350000;"Crna Gora";Standardna;yes;NULL
89;flat;sale;Dobrota;NULL;75;NULL;NULL;"- / 3";Da;Samostalno;NULL;2;169000;"Crna Gora";Novogradnja;yes;NULL
90;home;sale;Budva;NULL;1264;1981;NULL;NULL;Da;Samostalno;8;8;2800000;"Crna Gora";Standardna;yes;NULL
95;flat;sale;Budva;NULL;107;NULL;NULL;"1 / -";Da;Centralno;3;NULL;856000;"Crna Gora";Novogradnja;yes;NULL
102;flat;sale;Tivat;"Porto Montenegro";42;NULL;NULL;"2 / 5";Da;NULL;1;NULL;315000;"Crna Gora";NULL;yes;NULL
103;flat;sale;Tivat;"Porto Montenegro";71;NULL;NULL;"1 / -";Da;NULL;2;NULL;425000;"Crna Gora";NULL;yes;NULL
107;home;sale;Budva;"Drobni Pijesak";465;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3500000;"Crna Gora";NULL;yes;NULL
109;home;sale;Budva;"Perazića Do";285;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1300000;"Crna Gora";NULL;yes;NULL
110;home;sale;Budva;"Drobni Pljesak";500;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1200000;"Crna Gora";NULL;yes;NULL
112;home;sale;Budva;"Komoševina ";438;NULL;NULL;NULL;NULL;Centralno;NULL;NULL;1200000;"Crna Gora";NULL;yes;NULL
113;home;sale;Blizikuće;NULL;600;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Crna Gora";NULL;yes;NULL
114;home;sale;Budva;"Skočiđevojka ";435;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1275000;"Crna Gora";NULL;yes;NULL
115;flat;sale;Budva;Skočiđevojka;152;NULL;NULL;"- / -";NULL;Centralno;NULL;NULL;850000;"Crna Gora";NULL;yes;NULL
118;home;sale;Budva;Blizikuće;200;NULL;NULL;NULL;NULL;NULL;4;NULL;820000;"Crna Gora";NULL;yes;NULL
120;flat;sale;Budva;"Dukley Gardens";178;NULL;NULL;"1 / 3";Da;"Centralno, Podno, Klima";3;2;950000;"Crna Gora";Novogradnja;yes;NULL
131;home;sale;Bečići;NULL;70;NULL;NULL;NULL;NULL;NULL;NULL;NULL;200000;"Crna Gora";NULL;yes;NULL
139;home;sale;"Katun Reževići";NULL;174;NULL;NULL;NULL;NULL;NULL;4;NULL;NULL;"Crna Gora";NULL;yes;NULL
142;flat;sale;Tivat;NULL;224;NULL;NULL;"- / -";Da;NULL;NULL;NULL;1690000;"Crna Gora";Novogradnja;yes;NULL
148;home;sale;Bijela;NULL;710;NULL;NULL;NULL;NULL;Centralno;NULL;NULL;NULL;"Crna Gora";NULL;yes;NULL
155;flat;sale;Đenovići;NULL;47;NULL;NULL;"1 / -";NULL;NULL;NULL;NULL;108100;"Crna Gora";NULL;yes;NULL
156;flat;sale;Đenovići;Đenovići;181;NULL;NULL;"- / -";NULL;NULL;3;NULL;399000;"Crna Gora";Novogradnja;yes;NULL
162;home;sale;Podi;NULL;396;2008;NULL;NULL;NULL;Centralno;NULL;NULL;580000;"Crna Gora";NULL;yes;NULL
172;home;sale;Blizikuće;NULL;166;NULL;NULL;NULL;NULL;NULL;NULL;NULL;460000;"Crna Gora";NULL;yes;NULL
175;flat;sale;Pržno;NULL;68;NULL;NULL;"- / -";NULL;NULL;NULL;NULL;195000;"Crna Gora";NULL;yes;NULL
181;home;sale;"Rijeka Reževići";NULL;235;NULL;NULL;NULL;NULL;NULL;NULL;NULL;700000;"Crna Gora";NULL;yes;NULL
182;home;sale;Blizikuće;NULL;350;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1100000;"Crna Gora";NULL;yes;NULL
183;flat;sale;"Dobra Voda";NULL;86;NULL;NULL;"- / -";Da;NULL;NULL;NULL;169000;"Crna Gora";Novogradnja;yes;NULL
186;flat;sale;Tivat;NULL;72;NULL;NULL;"1 / -";Da;NULL;3;NULL;205000;"Crna Gora";Novogradnja;yes;NULL
190;flat;sale;Tivat;NULL;133;NULL;NULL;"1 / -";Da;NULL;3;NULL;900000;"Crna Gora";NULL;yes;NULL
192;home;sale;Luštica;NULL;205;NULL;NULL;NULL;NULL;Centralno;NULL;NULL;NULL;"Crna Gora";NULL;yes;NULL
205;flat;sale;Pržno;NULL;47;NULL;NULL;"2 / -";NULL;NULL;NULL;NULL;94000;"Crna Gora";NULL;yes;NULL
206;flat;sale;Bečići;NULL;283;NULL;NULL;"- / -";NULL;NULL;NULL;NULL;430000;"Crna Gora";NULL;yes;NULL
207;flat;sale;Bečići;NULL;61;NULL;NULL;"- / -";NULL;Podno;NULL;NULL;152500;"Crna Gora";NULL;yes;NULL
211;flat;sale;Budva;Skočiđevojka;NULL;NULL;NULL;"- / -";NULL;NULL;NULL;NULL;150000;"Crna Gora";NULL;yes;NULL
214;flat;sale;Tivat;NULL;204;NULL;NULL;"- / -";NULL;NULL;NULL;NULL;1200000;"Crna Gora";NULL;yes;NULL
215;flat;sale;Tivat;NULL;41;NULL;NULL;"- / -";NULL;NULL;NULL;NULL;313600;"Crna Gora";NULL;yes;NULL
217;flat;sale;Tivat;NULL;113;NULL;NULL;"- / -";NULL;NULL;NULL;NULL;705000;"Crna Gora";NULL;yes;NULL
218;flat;sale;Tivat;NULL;72;NULL;NULL;"- / -";NULL;NULL;NULL;NULL;430000;"Crna Gora";NULL;yes;NULL
220;home;sale;"Donji Orahovac";NULL;250;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1150000;"Crna Gora";NULL;yes;NULL
222;home;sale;Krimovica;NULL;300;NULL;NULL;NULL;NULL;NULL;NULL;NULL;380000;"Crna Gora";NULL;yes;NULL
223;home;sale;"Donja Lastva";NULL;240;2015;NULL;NULL;NULL;NULL;NULL;NULL;695000;"Crna Gora";NULL;yes;NULL
227;home;sale;Budva;Ivanovići;170;NULL;NULL;NULL;NULL;NULL;NULL;NULL;550000;"Crna Gora";NULL;yes;NULL
228;flat;sale;Tivat;NULL;NULL;2019;NULL;"1 / -";NULL;NULL;NULL;NULL;115000;"Crna Gora";NULL;yes;NULL
229;home;sale;"Katun Reževići";NULL;402;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1200000;"Crna Gora";NULL;yes;NULL
231;home;sale;"Herceg Novi";Žanjice;440;2000;NULL;NULL;Da;Samostalno;NULL;NULL;595000;"Crna Gora";NULL;yes;NULL
235;home;sale;Perast;NULL;244;NULL;NULL;NULL;NULL;Centralno;7;NULL;750000;"Crna Gora";NULL;yes;NULL
239;home;sale;NULL;NULL;400;NULL;NULL;NULL;Da;NULL;8;NULL;2100000;"Crna Gora";Standardna;yes;NULL
245;home;sale;Kotor;NULL;278;NULL;NULL;NULL;NULL;NULL;6;NULL;1050000;"Crna Gora";NULL;yes;NULL
250;home;sale;Krimovica;NULL;450;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1590000;"Crna Gora";Novogradnja;yes;NULL
255;home;sale;Dobrota;NULL;536;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1500000;"Crna Gora";NULL;yes;NULL
259;flat;sale;Tivat;NULL;151;NULL;NULL;"3 / -";NULL;NULL;NULL;NULL;NULL;"Crna Gora";NULL;yes;NULL
262;home;sale;Strp;NULL;669;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1600000;"Crna Gora";NULL;yes;NULL
