idrealestate;type;typeOfOffer;city;municipality;squareFootage;constructionYear;landArea;floorInfo;registration;heatingType;roomNo;bathroomNo;price;country;con;pl;pumpaIliKalorimetri
4968;flat;sale;Beograd;Altina;68;2020;NULL;"4 / 4";NULL;Samostalno;4;1;74800;Srbija;Novogradnja;NULL;NULL
9450;flat;sale;Beograd;Surčin;57;2020;NULL;"3 / 3";NULL;Samostalno;2;NULL;74043;Srbija;Novogradnja;NULL;NULL
7435;flat;sale;Beograd;Voždovac;33;2020;NULL;"1 / 5";Da;Samostalno;1;NULL;73260;Srbija;Novogradnja;NULL;NULL
6959;flat;sale;Beograd;"Cvetanova ćuprija";41;2019;NULL;"3 / 5";Da;Samostalno;2;NULL;73000;Srbija;Novogradnja;NULL;NULL
4881;flat;sale;Beograd;Altina;66;2019;NULL;"- / 3";NULL;Samostalno;4;1;72600;Srbija;Novogradnja;NULL;NULL
4948;flat;sale;Beograd;Altina;66;2019;NULL;"- / 3";NULL;Samostalno;4;1;72600;Srbija;Novogradnja;NULL;NULL
5000;flat;sale;Beograd;Altina;66;2019;NULL;"- / 3";NULL;Samostalno;4;1;72600;Srbija;Novogradnja;NULL;NULL
4963;flat;sale;Beograd;Altina;65;2020;NULL;"4 / 4";NULL;Samostalno;4;1;71500;Srbija;Novogradnja;NULL;NULL
5029;flat;sale;Beograd;Altina;65;2020;NULL;"4 / 4";NULL;Samostalno;4;1;71500;Srbija;Novogradnja;NULL;NULL
1762;flat;sale;Beograd;Surčin;55;2020;NULL;"- / 3";NULL;Samostalno;3;NULL;71450;Srbija;Novogradnja;NULL;NULL
10393;flat;sale;"Novi Sad";Podbara;56;2020;NULL;"- / 4";Da;Centralno;NULL;NULL;71336;Srbija;Novogradnja;NULL;kalorimetri
6830;flat;sale;Beograd;Ledine;55;2020;NULL;"0 / 3";Da;Samostalno;2;NULL;71000;Srbija;Novogradnja;NULL;NULL
10391;flat;sale;"Novi Sad";Podbara;55;2020;NULL;"- / 4";Da;Centralno;NULL;NULL;70193;Srbija;Novogradnja;NULL;kalorimetri
6985;flat;sale;Beograd;Ledine;55;2020;NULL;"2 / 2";Da;Samostalno;3;NULL;70000;Srbija;Novogradnja;NULL;NULL
8883;flat;sale;Beograd;"Zemun (Save Kovačevića)";47;2019;NULL;"- / -";Da;NULL;3;1;70000;Srbija;Novogradnja;NULL;NULL
4194;flat;sale;Beograd;"Cvetkova pijaca";41;2019;NULL;"0 / 4";Da;"Centralno, Klima";2;NULL;69900;Srbija;Novogradnja;NULL;NULL
6838;flat;sale;Beograd;"Cvetkova pijaca";41;2019;NULL;"0 / 4";Da;"Centralno, Klima";2;NULL;69900;Srbija;Novogradnja;NULL;NULL
1451;flat;sale;Beograd;Voždovac;30;2020;NULL;"4 / 5";Da;Samostalno;1;NULL;68200;Srbija;Novogradnja;NULL;NULL
1482;flat;sale;Beograd;Voždovac;30;2020;NULL;"1 / 5";Da;Samostalno;1;NULL;68200;Srbija;Novogradnja;NULL;NULL
9690;flat;sale;Beograd;Voždovac;30;2020;NULL;"2 / 5";Da;Samostalno;1;NULL;68200;Srbija;Novogradnja;NULL;NULL
6836;flat;sale;Beograd;"Cvetkova pijaca";40;2019;NULL;"0 / 4";Da;"Centralno, Klima";2;NULL;68000;Srbija;Novogradnja;NULL;NULL
5207;flat;sale;Beograd;Ledine;61;2019;NULL;"3 / 3";Da;Samostalno;3;1;67980;Srbija;Novogradnja;NULL;NULL
6441;flat;sale;Beograd;"Mirijevo I";59;2020;NULL;"- / 5";NULL;Samostalno;3;NULL;67850;Srbija;Novogradnja;NULL;NULL
9039;flat;sale;Niš;Palilula;52;2020;NULL;"1 / -";Da;Samostalno;3;1;67000;Srbija;Novogradnja;NULL;NULL
10394;flat;sale;"Novi Sad";Podbara;52;2020;NULL;"- / 4";Da;Centralno;NULL;NULL;66358;Srbija;Novogradnja;NULL;kalorimetri
531;flat;sale;Zlatibor;Obudojevica;37;2019;NULL;"2 / 3";Da;Centralno;2;1;65120;Srbija;Novogradnja;NULL;NULL
1247;flat;sale;Zlatibor;Centar;39;2020;NULL;"- / 5";NULL;NULL;2;1;64500;Srbija;Standardna;NULL;NULL
2413;flat;sale;Zlatibor;Centar;34;2019;NULL;"2 / 3";Da;Samostalno;1;NULL;63580;Srbija;Novogradnja;NULL;NULL
8353;flat;sale;Beograd;Voždovac;58;2019;NULL;"4 / 6";NULL;Samostalno;2;NULL;63250;Srbija;Novogradnja;NULL;NULL
10494;flat;sale;Zlatibor;Palisad;33;2020;NULL;"0 / 0";NULL;NULL;0;NULL;62218;Srbija;U;yes;NULL
1415;flat;sale;Beograd;"Mirijevo I";47;2019;NULL;"- / 5";Da;Samostalno;3;NULL;62000;Srbija;Novogradnja;NULL;NULL
8701;flat;sale;Čajetina;NULL;42;2020;NULL;"1 / 3";Da;Samostalno;2;1;62000;Srbija;Novogradnja;NULL;NULL
9550;flat;sale;Beograd;"Mirijevo I";73;2020;NULL;"- / 3";NULL;Samostalno;4;NULL;62000;Srbija;Novogradnja;NULL;NULL
10389;flat;sale;"Novi Sad";Podbara;49;2020;NULL;"- / 4";Da;NULL;NULL;NULL;61976;Srbija;Novogradnja;NULL;kalorimetri
1039;flat;sale;Zlatibor;Centar;40;2020;NULL;"- / -";NULL;NULL;2;NULL;61600;Srbija;Standardna;NULL;NULL
10402;flat;sale;"Novi Sad";Podbara;48;2020;NULL;"- / 4";Da;Centralno;NULL;NULL;61303;Srbija;Novogradnja;NULL;kalorimetri
5493;flat;sale;Beograd;"Zemun (Novi Grad)";47;2020;NULL;"4 / 4";Da;Samostalno;3;NULL;61100;Srbija;Novogradnja;NULL;NULL
9449;flat;sale;Beograd;Surčin;46;2020;NULL;"3 / 3";NULL;Samostalno;2;NULL;59754;Srbija;Novogradnja;NULL;NULL
573;flat;sale;Beograd;Ledine;42;2020;NULL;"1 / 3";Da;"Samostalno, Klima";1;NULL;58600;Srbija;Novogradnja;NULL;NULL
9452;flat;sale;Beograd;Surčin;45;2020;NULL;"3 / 3";NULL;Samostalno;2;NULL;58455;Srbija;Novogradnja;NULL;NULL
8105;flat;sale;"Mladenovac (varoš)";Njegoševa;66;2019;NULL;"1 / 3";Da;Samostalno;3;1;58000;Srbija;Novogradnja;NULL;NULL
8351;flat;sale;Beograd;"Višnjička banja";47;2019;NULL;"- / 3";Da;Samostalno;2;NULL;56400;Srbija;Novogradnja;NULL;NULL
1758;flat;sale;Beograd;Surčin;43;2020;NULL;"- / 3";NULL;Samostalno;2;NULL;55860;Srbija;Novogradnja;NULL;NULL
9472;flat;sale;Beograd;Surčin;43;2020;NULL;"1 / 3";NULL;Samostalno;2;NULL;55860;Srbija;Novogradnja;NULL;NULL
1431;flat;sale;Beograd;"Mirijevo I";54;2020;NULL;"- / 3";NULL;Samostalno;3;NULL;55100;Srbija;Novogradnja;NULL;NULL
1838;flat;sale;Beograd;"Veliki mokri lug";42;2020;NULL;"4 / 4";Da;Centralno;2;NULL;55000;Srbija;Novogradnja;NULL;NULL
9453;flat;sale;Beograd;Surčin;42;2020;NULL;"- / 3";NULL;Samostalno;2;NULL;54560;Srbija;Novogradnja;NULL;NULL
9431;flat;sale;Beograd;"Višnjička banja";52;2020;NULL;"- / 3";Da;Samostalno;2;NULL;52900;Srbija;Novogradnja;NULL;NULL
